Cell	Condition1	Condition2	Protein	logFC	logCPM	PValue
E	CTRL	AFA	ACTS_HUMAN	-8.25908955334015	10.6036352677061	1.67768518120367e-36
E	CTRL	AFA	AHNK_HUMAN	-0.824181925881016	12.6579559012227	0.00010516100391135
E	CTRL	AFA	CALD1_HUMAN	-0.814706291798253	11.7945524987505	0.000251671436043828
E	CTRL	AFA	FBN1_HUMAN	-0.948497145256881	9.95580227642942	0.000237624425292127
E	CTRL	AFA	H2A1A_HUMAN	-4.94787137954214	7.91670056812641	9.57020009274196e-06
E	CTRL	AFA	HS71L_HUMAN	-5.38840926786848	8.21229617314898	7.11197028804783e-08
E	CTRL	AFA	K1C17_HUMAN	-5.00793520203244	7.96028567981258	4.67199770567808e-06
E	CTRL	AFA	K1C9_HUMAN	-0.855072717655891	10.7600811168746	0.000301019052458342
E	CTRL	AFA	LAP2A_HUMAN	-4.94922972395971	7.91902133206086	9.59184867142751e-06
E	CTRL	AFA	ML12B_HUMAN	-5.63113547156164	8.35979395020524	3.31134614352544e-09
E	CTRL	AFA	MYH14_HUMAN	-5.17370314606779	8.0530642138091	1.64776708874189e-06
E	CTRL	AFA	RAB2B_HUMAN	-5.03674278430793	7.98012769930589	3.60341283685099e-06
E	CTRL	AFA	TBA8_HUMAN	-4.97384077112613	7.93082410207337	7.53713683489731e-06
E	CTRL	AFA	TBB2A_HUMAN	-0.789947064759449	11.7595548450594	0.000133053120073102
E	CTRL	AXI	1A68_HUMAN	4.19211124544724	6.80747799041647	3.22726257413169e-05
E	CTRL	AXI	ACADV_HUMAN	-1.12877419292282	9.14876777152026	0.000339530006953151
E	CTRL	AXI	ACTH_HUMAN	1.40990651570565	12.4436140919767	7.22910948727818e-12
E	CTRL	AXI	ACTS_HUMAN	0.686979806488194	11.0821223281313	0.00103661433830414
E	CTRL	AXI	ADH1A_HUMAN	-1.6655528876233	9.73729836653327	1.26061735123145e-07
E	CTRL	AXI	CALU_HUMAN	0.777912128110888	9.59909359026995	0.000798243086071688
E	CTRL	AXI	CAN1_HUMAN	-1.03434146348308	9.2503344315664	0.00090746341368272
E	CTRL	AXI	CBX1_HUMAN	1.73174079462692	7.46056660450303	0.00116690368900778
E	CTRL	AXI	CNN1_HUMAN	0.770192377614612	9.64372459618632	0.000894641003415333
E	CTRL	AXI	CO5A1_HUMAN	0.984774480415206	8.83112067425998	0.000379326639689379
E	CTRL	AXI	CO5A2_HUMAN	2.75806357705712	7.55593696747053	3.30680486464967e-08
E	CTRL	AXI	COPB_HUMAN	-1.13143756978248	9.25970973173998	0.000358507395065737
E	CTRL	AXI	CSK23_HUMAN	4.01128862385675	6.77181932992079	0.000143779783385049
E	CTRL	AXI	CSPG4_HUMAN	1.08407178011047	8.62567625710687	0.000129701721922205
E	CTRL	AXI	CTGF_HUMAN	1.05971308579229	8.94657829948856	4.4885689076282e-05
E	CTRL	AXI	CYR61_HUMAN	1.87491441269999	7.63221438405881	0.000107355338768282
E	CTRL	AXI	DESM_HUMAN	0.77956644823411	9.72673146885306	0.000558550105090155
E	CTRL	AXI	DX39A_HUMAN	4.72493880801862	6.93836057988121	3.44864547580611e-07
E	CTRL	AXI	EHD4_HUMAN	1.03108958158258	8.54925304040195	0.000880918382614507
E	CTRL	AXI	ENAH_HUMAN	1.96478013459799	7.99415364001694	7.66668923778615e-07
E	CTRL	AXI	FSTL1_HUMAN	1.55098834967437	7.98323118847572	7.77181044196047e-05
E	CTRL	AXI	GNAS2_HUMAN	-4.67868851702012	7.62262033410934	0.00088528666286417
E	CTRL	AXI	H2A1C_HUMAN	5.51649937005638	7.19728778280411	8.53547853546683e-13
E	CTRL	AXI	H2A2A_HUMAN	0.790815812744906	9.57903002611953	0.000521748213946015
E	CTRL	AXI	H2B3B_HUMAN	-4.65765666493145	7.63243975925923	0.000597927118823168
E	CTRL	AXI	HS12A_HUMAN	-1.97111066677792	8.24742129112554	0.000369832288002148
E	CTRL	AXI	HS71L_HUMAN	-5.49943933328261	8.15502112621435	1.8761489179238e-06
E	CTRL	AXI	IF1AX_HUMAN	2.00513153471626	7.43816246959573	0.000182441758520537
E	CTRL	AXI	K2C6B_HUMAN	1.526744881196	8.42817953932376	8.37783095145478e-07
E	CTRL	AXI	LIMA1_HUMAN	0.957303518721625	8.71252637045782	0.000673168824829725
E	CTRL	AXI	LIMS2_HUMAN	3.78670154267399	6.73356937556581	0.000655908904471081
E	CTRL	AXI	LOXL1_HUMAN	3.31422314293201	6.8103497631155	0.000804448547312901
E	CTRL	AXI	LYOX_HUMAN	1.21787038829317	8.30393308514443	0.000288063897426014
E	CTRL	AXI	MTDC_HUMAN	3.28919140194367	6.80997112410835	0.000804507842945445
E	CTRL	AXI	MYH14_HUMAN	-5.2832487909155	7.98867591334729	2.70764377739533e-05
E	CTRL	AXI	MYL6B_HUMAN	2.67800861361693	7.9937137943667	5.6615031281653e-12
E	CTRL	AXI	NOMO1_HUMAN	3.14083069343337	6.90912251303111	0.000190263737404794
E	CTRL	AXI	PAI1_HUMAN	1.03475435100928	8.67768325811101	0.000370357258596621
E	CTRL	AXI	PGK2_HUMAN	2.68064644198766	7.41041176108757	1.81412475002111e-06
E	CTRL	AXI	PLEC_HUMAN	-0.959534240459385	9.99576740825084	0.000965969876334532
E	CTRL	AXI	PP2AB_HUMAN	2.1458002972375	7.51959343164351	1.29040830260023e-05
E	CTRL	AXI	PTBP3_HUMAN	3.30499940494042	6.81077482776153	0.000804382036673423
E	CTRL	AXI	RASK_HUMAN	4.97794291928539	7.00600378216096	1.61099189994628e-08
E	CTRL	AXI	SLIT3_HUMAN	0.835283143372661	8.9222321953371	0.00109003633174072
E	CTRL	AXI	SNAG_HUMAN	2.06861438245533	7.2914596130914	0.000517598623276299
E	CTRL	AXI	SRSF1_HUMAN	1.04711454637145	8.69306730578697	0.000201011973494707
E	CTRL	AXI	SYIM_HUMAN	-1.63980391378181	8.61413512063312	0.000195397034628511
E	CTRL	AXI	SYNP2_HUMAN	0.831795833009642	9.58933736631101	0.000223554288552951
E	CTRL	AXI	TBA8_HUMAN	-5.07974894469726	7.85945026924664	0.000112334646356843
E	CTRL	AXI	TLN2_HUMAN	-2.50114308094796	8.1260113468996	0.000338880474826719
E	CTRL	AXI	UTRO_HUMAN	-3.36899275247293	7.85820150656288	9.27984681726843e-05
E	CTRL	BOS	ACTS_HUMAN	-8.31983358655869	10.6744244302252	4.16491182967409e-29
E	CTRL	BOS	ADH1G_HUMAN	-5.25270394322941	8.09591941736392	1.6295320338356e-05
E	CTRL	BOS	HS71L_HUMAN	-5.43432238956414	8.22681297912359	2.21681708042501e-06
E	CTRL	BOS	HSP72_HUMAN	1.20248013417781	9.15255002110674	8.98720954859524e-07
E	CTRL	BOS	K1H1_HUMAN	3.99549232318152	7.14890353831744	2.2496902066485e-07
E	CTRL	BOS	K2C1B_HUMAN	5.09103834311919	7.06389486958326	1.8687796822216e-08
E	CTRL	BOS	K2C6C_HUMAN	-5.81270704175334	8.48041800633566	3.53243924818182e-08
E	CTRL	BOS	KCC2A_HUMAN	2.20276152932246	7.54404247103629	6.02735446016671e-05
E	CTRL	BOS	KR87P_HUMAN	4.54227999746667	6.92689539371474	7.07746198010482e-06
E	CTRL	BOS	KRT35_HUMAN	4.38199327431081	6.89199729336488	3.20479645680478e-05
E	CTRL	BOS	KRT85_HUMAN	4.93639352031463	7.02662484448949	8.12866948816854e-08
E	CTRL	BOS	KRT86_HUMAN	3.89000007608342	7.11922283909986	9.67128386468186e-07
E	CTRL	BOS	KT33B_HUMAN	4.81682493798801	6.99417020610623	3.56833890934406e-07
E	CTRL	BOS	TBA8_HUMAN	-5.01386533957093	7.93423894841798	0.000119727389943193
E	CTRL	BOS	TBB4A_HUMAN	-1.11203909282549	11.7646296892553	2.26320971075607e-05
E	CTRL	GEF	1A02_HUMAN	0.930093110127395	8.49998499172939	0.000408304470995352
E	CTRL	GEF	1A69_HUMAN	1.33399508542656	8.27980044017398	9.12032020727114e-06
E	CTRL	GEF	2AAA_HUMAN	-0.582380752755036	9.64366386353815	0.00569843337820354
E	CTRL	GEF	A4_HUMAN	1.68150113590644	7.31805745896996	0.000548683682784585
E	CTRL	GEF	AAKB2_HUMAN	2.51976881264696	6.94734236549607	0.00088663201354858
E	CTRL	GEF	ABI1_HUMAN	1.1652292164117	7.61214540957004	0.00649137577579332
E	CTRL	GEF	ABLM1_HUMAN	1.15890493275205	7.94465214013956	0.00230958742862599
E	CTRL	GEF	ACADV_HUMAN	-1.51526378611019	9.00584221379812	3.33497650355839e-08
E	CTRL	GEF	ACTH_HUMAN	1.33280211141617	12.5564134690436	2.72388515446268e-14
E	CTRL	GEF	ADH1A_HUMAN	-1.17566562356264	9.67906061749685	6.87332638381067e-07
E	CTRL	GEF	ADH1G_HUMAN	-1.36240890536381	8.02773560149167	0.00560205231149371
E	CTRL	GEF	ADHX_HUMAN	-0.770415919495614	9.63150280930151	0.00047331008396155
E	CTRL	GEF	ADT1_HUMAN	-0.972153271187651	8.91084966525058	0.000433525449419585
E	CTRL	GEF	ADT2_HUMAN	-0.899918168171706	8.97135764823455	0.000529281123770548
E	CTRL	GEF	ADT3_HUMAN	-1.27900998202431	9.09087828113913	6.83960441038974e-07
E	CTRL	GEF	AGO1_HUMAN	-3.61673024747213	7.01291026437311	0.00649884784740065
E	CTRL	GEF	AINX_HUMAN	1.54940475241929	8.08667224688937	1.03198581515046e-06
E	CTRL	GEF	AKAP2_HUMAN	0.646446549935929	9.03256363580974	0.00394164442912319
