Protein	CTRL.28.4.1	CTRL.30.1.1	CTRL.30.5.1	CTRL.30.7.1	CTRL.39.2.1	CTRL.39.3.1	CTRL.39.6.1	CTRL.39.12.1	CTRL.39.13.1	VAN.30.7.5	VAN.42.10.5	VAN.42.11.5	CTRL.28.4.1.Norm	CTRL.30.1.1.Norm	CTRL.30.5.1.Norm	CTRL.30.7.1.Norm	CTRL.39.2.1.Norm	CTRL.39.3.1.Norm	CTRL.39.6.1.Norm	CTRL.39.12.1.Norm	CTRL.39.13.1.Norm	VAN.30.7.5.Norm	VAN.42.10.5.Norm	VAN.42.11.5.Norm
1433B_HUMAN	28	17	18	18	34	22	14	22	17	15	16	21	854.414997126531	608.68431350743	717.487650708159	733.00731494467	689.339745588325	668.512134117682	582.410283128238	941.3884520734	716.14683496157	622.009583033993	733.078390228071	763.336011313788
1433E_HUMAN	34	31	29	26	52	30	30	30	19	25	21	27	1037.50392508222	1109.95374816061	1155.95232614092	1058.78834380897	1054.28431678214	911.607455615021	1248.0220352748	1283.71152555464	800.399403780578	1036.68263838999	962.165387174343	981.432014546299
1433F_HUMAN	16	15	15	10	24	13	12	13	13	10	12	14	488.237141215161	537.074394271262	597.906375590132	407.226286080373	486.592761591759	395.029897433176	499.208814109918	556.274994407009	547.641697323554	414.673055355995	549.808792671053	508.890674209192
1433G_HUMAN	22	21	20	17	33	17	14	15	17	15	20	17	671.326069170846	751.904151979767	797.208500786843	692.284686336633	669.065047188668	516.577558181845	582.410283128238	641.855762777319	716.14683496157	622.009583033993	916.347987785089	617.938675825447
1433S_HUMAN	0	8	8	9	8	0	0	0	6	7	0	0	0	286.439676944673	318.883400314737	366.503657472335	162.197587197253	0	0	0	252.757706457025	290.271138749197	0	0
1433T_HUMAN	27	22	24	20	46	22	23	16	18	21	17	22	823.900175800584	787.709111597851	956.650200944212	814.452572160745	932.636126384204	668.512134117682	956.816893710676	684.646146962473	758.273119371074	870.81341624759	778.895789617326	799.685345185873
1433Z_HUMAN	35	34	32	25	57	28	34	28	26	25	26	29	1068.01874640816	1217.36862701486	1275.53360125895	1018.06571520093	1155.65780878043	850.833625240686	1414.42497331143	1198.13075718433	1095.28339464711	1036.68263838999	1191.25238412062	1054.13068229047
1A01_HUMAN	6	0	7	0	0	6	4	0	5	0	0	7	183.088927955685	0	279.022975275395	0	0	182.321491123004	166.402938036639	0	210.631422047521	0	0	254.445337104596
1A02_HUMAN	8	11	7	10	24	9	4	9	6	8	4	12	244.11857060758	393.854555798925	279.022975275395	407.226286080373	486.592761591759	273.482236684506	166.402938036639	385.113457666391	252.757706457025	331.738444284796	183.269597557018	436.192006465022
1A11_HUMAN	0	9	0	5	22	0	0	0	0	6	0	0	0	322.244636562757	0	203.613143040186	446.043364792445	0	0	0	0	248.803833213597	0	0
1A1L1_HUMAN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	39.8604250393421	0	0	0	0	0	0	0	0	0
1A24_HUMAN	0	0	5	0	0	0	0	0	0	0	0	0	0	0	199.302125196711	0	0	0	0	0	0	0	0	0
1A69_HUMAN	0	0	6	9	0	0	0	0	6	0	0	10	0	0	239.162550236053	366.503657472335	0	0	0	0	252.757706457025	0	0	363.493338720851
1B08_HUMAN	6	0	0	0	17	6	4	0	6	0	0	0	183.088927955685	0	0	0	344.669872794162	182.321491123004	166.402938036639	0	252.757706457025	0	0	0
1B38_HUMAN	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	304.120475994849	0	0	0	0	0	0	0
1B39_HUMAN	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	207.336527677998	0	0
1B42_HUMAN	0	5	6	5	0	0	0	8	0	6	4	7	0	179.024798090421	239.162550236053	203.613143040186	0	0	0	342.323073481237	0	248.803833213597	183.269597557018	254.445337104596
1B67_HUMAN	0	0	5	0	0	0	0	0	0	0	0	0	0	0	199.302125196711	0	0	0	0	0	0	0	0	0
1C06_HUMAN	6	0	7	0	0	6	0	0	0	0	3	0	183.088927955685	0	279.022975275395	0	0	182.321491123004	0	0	0	0	137.452198167763	0
1C07_HUMAN	0	0	0	6	23	0	0	0	0	5	0	0	0	0	0	244.335771648223	466.318063192102	0	0	0	0	207.336527677998	0	0
1C12_HUMAN	7	0	0	0	22	5	0	0	0	0	0	10	213.603749281633	0	0	0	446.043364792445	151.934575935837	0	0	0	0	0	363.493338720851
2A5D_HUMAN	4	1	4	2	5	5	3	3	1	1	0	2	122.05928530379	35.8049596180841	159.441700157369	81.4452572160745	101.373491998283	151.934575935837	124.80220352748	128.371152555464	42.1262844095041	41.4673055355995	0	72.6986677441703
2A5E_HUMAN	0	1	0	1	2	1	0	1	0	0	0	0	0	35.8049596180841	0	40.7226286080373	40.5493967993132	30.3869151871674	0	42.7903841851546	0	0	0	0
2A5G_HUMAN	3	0	0	0	0	0	0	0	0	0	0	0	91.5444639778427	0	0	0	0	0	0	0	0	0	0	0
2AAA_HUMAN	14	18	22	20	31	22	22	18	17	18	8	17	427.207498563266	644.489273125514	876.929350865527	814.452572160745	628.515650389355	668.512134117682	915.216159201516	770.226915332782	716.14683496157	746.411499640791	366.539195114036	617.938675825447
2ABA_HUMAN	10	5	4	3	10	6	2	5	6	2	5	4	305.148213259476	179.024798090421	159.441700157369	122.167885824112	202.746983996566	182.321491123004	83.2014690183197	213.951920925773	252.757706457025	82.934611071199	229.086996946272	145.397335488341
3BHS7_HUMAN	1	0	0	0	0	0	0	0	0	0	0	0	30.5148213259476	0	0	0	0	0	0	0	0	0	0	0
3HAO_HUMAN	0	1	0	0	4	1	0	0	1	0	1	1	0	35.8049596180841	0	0	81.0987935986265	30.3869151871674	0	0	42.1262844095041	0	45.8173993892544	36.3493338720851
3HIDH_HUMAN	8	7	6	4	19	6	5	3	2	3	4	6	244.11857060758	250.634717326589	239.162550236053	162.890514432149	385.219269593476	182.321491123004	208.003672545799	128.371152555464	84.2525688190082	124.401916606799	183.269597557018	218.096003232511
3MG_HUMAN	1	0	1	1	0	1	0	0	0	1	0	0	30.5148213259476	0	39.8604250393421	40.7226286080373	0	30.3869151871674	0	0	0	41.4673055355995	0	0
4F2_HUMAN	15	9	10	10	27	14	11	10	8	7	4	8	457.722319889213	322.244636562757	398.604250393421	407.226286080373	547.416856790729	425.416812620343	457.608079600758	427.903841851546	337.010275276033	290.271138749197	183.269597557018	290.794670976681
5NTC_HUMAN	4	3	6	5	9	7	4	3	6	7	3	3	122.05928530379	107.414878854252	239.162550236053	203.613143040186	182.47228559691	212.708406310171	166.402938036639	128.371152555464	252.757706457025	290.271138749197	137.452198167763	109.048001616255
5NTD_HUMAN	2	2	1	1	16	2	3	1	3	0	2	2	61.0296426518951	71.6099192361683	39.8604250393421	40.7226286080373	324.395174394506	60.7738303743347	124.80220352748	42.7903841851546	126.378853228512	0	91.6347987785089	72.6986677441703
6PGD_HUMAN	13	16	14	13	23	14	11	9	11	8	8	12	396.692677237318	572.879353889346	558.04595055079	529.394171904484	466.318063192102	425.416812620343	457.608079600758	385.113457666391	463.389128504545	331.738444284796	366.539195114036	436.192006465022
6PGL_HUMAN	13	13	12	10	28	14	9	13	17	15	10	10	396.692677237318	465.464475035094	478.325100472106	407.226286080373	567.691555190385	425.416812620343	374.406610582439	556.274994407009	716.14683496157	622.009583033993	458.173993892545	363.493338720851
A16A1_HUMAN	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	30.3869151871674	0	42.7903841851546	0	41.4673055355995	0	0
A2MG_HUMAN	4	2	0	1	0	2	0	1	0	0	0	1	122.05928530379	71.6099192361683	0	40.7226286080373	0	60.7738303743347	0	42.7903841851546	0	0	0	36.3493338720851
A4_HUMAN	2	0	0	0	8	0	0	1	0	0	1	0	61.0296426518951	0	0	0	162.197587197253	0	0	42.7903841851546	0	0	45.8173993892544	0
AAAS_HUMAN	0	2	0	0	0	0	0	0	0	0	0	0	0	71.6099192361683	0	0	0	0	0	0	0	0	0	0
AAAT_HUMAN	0	0	0	0	3	0	0	1	0	0	0	1	0	0	0	0	60.8240951989698	0	0	42.7903841851546	0	0	0	36.3493338720851
AACT_HUMAN	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	41.4673055355995	0	0
AAGAB_HUMAN	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20.2746983996566	0	0	0	0	0	0	0
AAK1_HUMAN	2	2	1	2	4	2	0	0	1	4	0	0	61.0296426518951	71.6099192361683	39.8604250393421	81.4452572160745	81.0987935986265	60.7738303743347	0	0	42.1262844095041	165.869222142398	0	0
AAKB1_HUMAN	3	1	0	1	4	2	0	0	0	1	0	2	91.5444639778427	35.8049596180841	0	40.7226286080373	81.0987935986265	60.7738303743347	0	0	0	41.4673055355995	0	72.6986677441703
AAKB2_HUMAN	9	2	1	2	5	6	2	0	1	2	2	4	274.633391933528	71.6099192361683	39.8604250393421	81.4452572160745	101.373491998283	182.321491123004	83.2014690183197	0	42.1262844095041	82.934611071199	91.6347987785089	145.397335488341
AAKG1_HUMAN	4	6	7	8	11	6	4	3	3	6	3	5	122.05928530379	214.829757708505	279.022975275395	325.781028864298	223.021682396223	182.321491123004	166.402938036639	128.371152555464	126.378853228512	248.803833213597	137.452198167763	181.746669360426
AAPK1_HUMAN	10	2	8	10	6	12	4	5	5	10	7	10	305.148213259476	71.6099192361683	318.883400314737	407.226286080373	121.64819039794	364.642982246008	166.402938036639	213.951920925773	210.631422047521	414.673055355995	320.721795724781	363.493338720851
AAPK2_HUMAN	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	41.4673055355995	0	0
AASD1_HUMAN	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	20.2746983996566	0	41.6007345091598	0	0	0	0	36.3493338720851
AASS_HUMAN	0	0	1	0	2	0	1	0	0	0	0	0	0	0	39.8604250393421	0	40.5493967993132	0	41.6007345091598	0	0	0	0	0
AATC_HUMAN	11	16	13	8	26	11	9	9	8	7	10	11	335.663034585423	572.879353889346	518.185525511448	325.781028864298	527.142158391072	334.256067058841	374.406610582439	385.113457666391	337.010275276033	290.271138749197	458.173993892545	399.842672592936
AATM_HUMAN	12	9	11	10	15	11	5	10	3	10	4	7	366.177855911371	322.244636562757	438.464675432764	407.226286080373	304.120475994849	334.256067058841	208.003672545799	427.903841851546	126.378853228512	414.673055355995	183.269597557018	254.445337104596
ABC3C_HUMAN	0	0	1	1	0	1	0	2	0	1	0	0	0	0	39.8604250393421	40.7226286080373	0	30.3869151871674	0	85.5807683703091	0	41.4673055355995	0	0
ABC3D_HUMAN	1	0	0	0	1	0	1	0	0	0	0	1	30.5148213259476	0	0	0	20.2746983996566	0	41.6007345091598	0	0	0	0	36.3493338720851
ABCA1_HUMAN	0	2	0	1	0	1	0	0	0	0	0	0	0	71.6099192361683	0	40.7226286080373	0	30.3869151871674	0	0	0	0	0	0
ABCA8_HUMAN	0	1	0	2	2	2	0	0	1	2	0	0	0	35.8049596180841	0	81.4452572160745	40.5493967993132	60.7738303743347	0	0	42.1262844095041	82.934611071199	0	0
ABCB6_HUMAN	0	2	0	2	1	1	1	0	0	1	0	0	0	71.6099192361683	0	81.4452572160745	20.2746983996566	30.3869151871674	41.6007345091598	0	0	41.4673055355995	0	0
ABCB7_HUMAN	1	1	1	1	1	1	1	0	0	1	0	0	30.5148213259476	35.8049596180841	39.8604250393421	40.7226286080373	20.2746983996566	30.3869151871674	41.6007345091598	0	0	41.4673055355995	0	0
ABCD3_HUMAN	0	2	0	1	1	2	0	0	1	1	0	0	0	71.6099192361683	0	40.7226286080373	20.2746983996566	60.7738303743347	0	0	42.1262844095041	41.4673055355995	0	0
ABCD4_HUMAN	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	30.3869151871674	0	0	0	0	0	0
ABCE1_HUMAN	3	3	0	1	4	4	3	1	2	1	3	0	91.5444639778427	107.414878854252	0	40.7226286080373	81.0987935986265	121.547660748669	124.80220352748	42.7903841851546	84.2525688190082	41.4673055355995	137.452198167763	0
ABCF1_HUMAN	9	5	4	5	7	6	6	4	5	3	2	5	274.633391933528	179.024798090421	159.441700157369	203.613143040186	141.922888797596	182.321491123004	249.604407054959	171.161536740618	210.631422047521	124.401916606799	91.6347987785089	181.746669360426
ABCF2_HUMAN	0	1	0	0	1	1	1	0	1	1	0	1	0	35.8049596180841	0	0	20.2746983996566	30.3869151871674	41.6007345091598	0	42.1262844095041	41.4673055355995	0	36.3493338720851
ABCF3_HUMAN	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	20.2746983996566	0	0	42.7903841851546	42.1262844095041	41.4673055355995	0	0
ABD12_HUMAN	1	2	3	3	1	3	1	1	1	3	0	0	30.5148213259476	71.6099192361683	119.581275118026	122.167885824112	20.2746983996566	91.1607455615021	41.6007345091598	42.7903841851546	42.1262844095041	124.401916606799	0	0
ABHD4_HUMAN	1	0	1	0	0	0	1	0	0	1	0	0	30.5148213259476	0	39.8604250393421	0	0	0	41.6007345091598	0	0	41.4673055355995	0	0
ABHD5_HUMAN	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	40.7226286080373	0	0	0	0	0	0	0	0
ABHDA_HUMAN	3	2	2	1	3	2	3	4	4	3	0	3	91.5444639778427	71.6099192361683	79.7208500786843	40.7226286080373	60.8240951989698	60.7738303743347	124.80220352748	171.161536740618	168.505137638016	124.401916606799	0	109.048001616255
ABHEB_HUMAN	7	8	7	7	15	7	5	5	6	6	5	11	213.603749281633	286.439676944673	279.022975275395	285.058400256261	304.120475994849	212.708406310171	208.003672545799	213.951920925773	252.757706457025	248.803833213597	229.086996946272	399.842672592936
ABHGA_HUMAN	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20.2746983996566	0	0	0	0	0	0	0
ABI1_HUMAN	5	2	2	3	7	1	1	3	1	2	2	3	152.574106629738	71.6099192361683	79.7208500786843	122.167885824112	141.922888797596	30.3869151871674	41.6007345091598	128.371152555464	42.1262844095041	82.934611071199	91.6347987785089	109.048001616255
ABI2_HUMAN	1	2	0	0	2	2	1	0	2	0	1	1	30.5148213259476	71.6099192361683	0	0	40.5493967993132	60.7738303743347	41.6007345091598	0	84.2525688190082	0	45.8173993892544	36.3493338720851
ABL1_HUMAN	0	1	0	0	0	0	0	0	0	0	0	0	0	35.8049596180841	0	0	0	0	0	0	0	0	0	0
ABLM1_HUMAN	13	5	3	4	9	11	4	2	6	2	5	9	396.692677237318	179.024798090421	119.581275118026	162.890514432149	182.47228559691	334.256067058841	166.402938036639	85.5807683703091	252.757706457025	82.934611071199	229.086996946272	327.144004848766
ABR_HUMAN	1	0	0	0	0	1	0	0	0	0	0	0	30.5148213259476	0	0	0	0	30.3869151871674	0	0	0	0	0	0
ABRAL_HUMAN	0	1	1	0	0	1	0	0	0	1	0	0	0	35.8049596180841	39.8604250393421	0	0	30.3869151871674	0	0	0	41.4673055355995	0	0
ACAD8_HUMAN	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	30.3869151871674	0	0	42.1262844095041	0	0	0
ACAD9_HUMAN	5	5	3	5	4	6	2	1	1	5	0	3	152.574106629738	179.024798090421	119.581275118026	203.613143040186	81.0987935986265	182.321491123004	83.2014690183197	42.7903841851546	42.1262844095041	207.336527677998	0	109.048001616255
ACADM_HUMAN	5	5	4	4	4	4	3	4	5	6	3	3	152.574106629738	179.024798090421	159.441700157369	162.890514432149	81.0987935986265	121.547660748669	124.80220352748	171.161536740618	210.631422047521	248.803833213597	137.452198167763	109.048001616255
ACADV_HUMAN	11	14	14	8	17	10	5	8	13	7	4	7	335.663034585423	501.269434653178	558.04595055079	325.781028864298	344.669872794162	303.869151871674	208.003672545799	342.323073481237	547.641697323554	290.271138749197	183.269597557018	254.445337104596
ACAP2_HUMAN	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	40.7226286080373	0	0	0	0	0	0	0	0
ACBD6_HUMAN	1	0	0	2	0	0	1	1	0	1	0	1	30.5148213259476	0	0	81.4452572160745	0	0	41.6007345091598	42.7903841851546	0	41.4673055355995	0	36.3493338720851
ACBP_HUMAN	4	1	4	2	4	5	3	2	1	2	4	4	122.05928530379	35.8049596180841	159.441700157369	81.4452572160745	81.0987935986265	151.934575935837	124.80220352748	85.5807683703091	42.1262844095041	82.934611071199	183.269597557018	145.397335488341
ACDSB_HUMAN	1	3	1	2	7	3	0	0	0	1	2	1	30.5148213259476	107.414878854252	39.8604250393421	81.4452572160745	141.922888797596	91.1607455615021	0	0	0	41.4673055355995	91.6347987785089	36.3493338720851
ACINU_HUMAN	3	2	1	2	1	4	2	1	2	1	1	0	91.5444639778427	71.6099192361683	39.8604250393421	81.4452572160745	20.2746983996566	121.547660748669	83.2014690183197	42.7903841851546	84.2525688190082	41.4673055355995	45.8173993892544	0
ACL6A_HUMAN	2	0	2	2	1	0	1	2	1	1	0	1	61.0296426518951	0	79.7208500786843	81.4452572160745	20.2746983996566	0	41.6007345091598	85.5807683703091	42.1262844095041	41.4673055355995	0	36.3493338720851
ACLY_HUMAN	5	11	10	10	27	20	13	15	11	12	6	8	152.574106629738	393.854555798925	398.604250393421	407.226286080373	547.416856790729	607.738303743347	540.809548619078	641.855762777319	463.389128504545	497.607666427194	274.904396335527	290.794670976681
ACO13_HUMAN	1	0	2	2	3	1	2	0	2	1	2	1	30.5148213259476	0	79.7208500786843	81.4452572160745	60.8240951989698	30.3869151871674	83.2014690183197	0	84.2525688190082	41.4673055355995	91.6347987785089	36.3493338720851
ACOC_HUMAN	3	4	3	6	8	3	3	1	1	4	4	2	91.5444639778427	143.219838472337	119.581275118026	244.335771648223	162.197587197253	91.1607455615021	124.80220352748	42.7903841851546	42.1262844095041	165.869222142398	183.269597557018	72.6986677441703
ACON_HUMAN	20	22	14	10	33	14	7	13	10	12	7	16	610.296426518951	787.709111597851	558.04595055079	407.226286080373	669.065047188668	425.416812620343	291.205141564119	556.274994407009	421.262844095041	497.607666427194	320.721795724781	581.589341953362
ACOT1_HUMAN	4	7	4	7	9	7	3	6	4	7	2	4	122.05928530379	250.634717326589	159.441700157369	285.058400256261	182.47228559691	212.708406310171	124.80220352748	256.742305110927	168.505137638016	290.271138749197	91.6347987785089	145.397335488341
ACOT9_HUMAN	2	4	7	6	2	3	4	3	1	3	2	1	61.0296426518951	143.219838472337	279.022975275395	244.335771648223	40.5493967993132	91.1607455615021	166.402938036639	128.371152555464	42.1262844095041	124.401916606799	91.6347987785089	36.3493338720851
ACOX1_HUMAN	0	2	1	2	2	3	1	1	2	1	0	0	0	71.6099192361683	39.8604250393421	81.4452572160745	40.5493967993132	91.1607455615021	41.6007345091598	42.7903841851546	84.2525688190082	41.4673055355995	0	0
ACOX3_HUMAN	0	6	4	4	1	2	1	0	1	3	0	0	0	214.829757708505	159.441700157369	162.890514432149	20.2746983996566	60.7738303743347	41.6007345091598	0	42.1262844095041	124.401916606799	0	0
ACPH_HUMAN	8	5	6	4	11	5	3	3	2	4	4	4	244.11857060758	179.024798090421	239.162550236053	162.890514432149	223.021682396223	151.934575935837	124.80220352748	128.371152555464	84.2525688190082	165.869222142398	183.269597557018	145.397335488341
ACPM_HUMAN	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	40.7226286080373	0	30.3869151871674	0	0	0	0	0	0
ACS2L_HUMAN	1	0	0	0	0	0	0	0	0	0	0	0	30.5148213259476	0	0	0	0	0	0	0	0	0	0	0
ACSA_HUMAN	2	2	1	0	1	1	2	2	0	0	0	1	61.0296426518951	71.6099192361683	39.8604250393421	0	20.2746983996566	30.3869151871674	83.2014690183197	85.5807683703091	0	0	0	36.3493338720851
ACSF2_HUMAN	2	1	1	3	1	0	0	0	0	2	0	0	61.0296426518951	35.8049596180841	39.8604250393421	122.167885824112	20.2746983996566	0	0	0	0	82.934611071199	0	0
ACSF3_HUMAN	1	1	1	1	0	2	0	0	0	1	0	0	30.5148213259476	35.8049596180841	39.8604250393421	40.7226286080373	0	60.7738303743347	0	0	0	41.4673055355995	0	0
ACSL1_HUMAN	3	11	5	4	9	2	4	4	1	4	2	5	91.5444639778427	393.854555798925	199.302125196711	162.890514432149	182.47228559691	60.7738303743347	166.402938036639	171.161536740618	42.1262844095041	165.869222142398	91.6347987785089	181.746669360426
ACSL3_HUMAN	6	12	6	6	12	5	3	2	2	5	2	3	183.088927955685	429.65951541701	239.162550236053	244.335771648223	243.296380795879	151.934575935837	124.80220352748	85.5807683703091	84.2525688190082	207.336527677998	91.6347987785089	109.048001616255
ACSL4_HUMAN	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	60.8240951989698	30.3869151871674	0	0	0	0	0	0
ACSM6_HUMAN	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	101.373491998283	0	0	0	0	0	0	0
ACSS3_HUMAN	0	0	1	1	0	0	0	0	0	1	0	0	0	0	39.8604250393421	40.7226286080373	0	0	0	0	0	41.4673055355995	0	0
ACTA_HUMAN	481	503	510	425	723	480	423	485	442	423	320	358	14677.6290577808	18009.8946878963	20328.8167700645	17307.1171584158	14658.6069429517	14585.7192898403	17597.1106973746	20753.3363298	18619.8177090008	17540.6702415586	14661.5678045614	13013.0615262065
ACTB_HUMAN	580	631	622	541	953	565	522	647	541	540	488	429	17698.5963690496	22592.9295190111	24793.1843744708	22030.9420769482	19321.7875748728	17168.6070807496	21715.5834137814	27685.378567795	22790.3198655417	22392.3449892237	22358.8909019562	15593.8642311245
ACTBL_HUMAN	130	156	130	115	152	124	110	139	117	105	91	87	3966.92677237318	5585.57370042112	5181.85525511448	4683.10228992428	3081.75415674781	3767.97748320875	4576.08079600758	5947.86340173648	4928.77527591198	4354.06708123795	4169.38334442215	3162.39204687141
ACTC_HUMAN	506	536	537	476	762	502	445	502	470	471	350	378	15440.4995909295	19191.4583552931	21405.0482461267	19383.9712174257	15449.3201805383	15254.231423958	18512.3268565761	21480.7728609476	19799.3536724669	19531.1009072674	16036.0897862391	13740.0482036482
ACTG_HUMAN	573	624	609	534	942	559	514	632	535	534	477	423	17484.9926197679	22342.2948016845	24274.9988489594	21745.8836766919	19098.7658924765	16986.2855896266	21382.7775377082	27043.5228050177	22537.5621590847	22143.5411560101	21854.8995086744	15375.768227892
ACTH_HUMAN	466	0	500	421	437	463	409	476	430	417	303	346	14219.9067378916	0	19930.2125196711	17144.2266439837	8860.04320064994	14069.1417316585	17014.7004142464	20368.2228721336	18114.3022960868	17291.866408345	13882.6720149441	12576.8695197415
ACTN1_HUMAN	183	208	208	192	308	211	164	182	181	203	130	140	5584.2123026484	7447.4316005615	8290.96840818317	7818.74469274315	6244.60710709424	6411.63910449231	6822.52045950221	7787.84992169813	7624.85747812025	8417.8630237267	5956.26192060308	5088.90674209192
ACTN2_HUMAN	41	31	66	40	69	38	44	31	38	44	26	39	1251.10767436385	1109.95374816061	2630.78805259658	1628.90514432149	1398.95418957631	1154.70277711236	1830.43231840303	1326.50190973979	1600.79880756116	1824.56144356638	1191.25238412062	1417.62402101132
ACTN3_HUMAN	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	446.043364792445	0	0	0	0	0	0	0
ACTN4_HUMAN	154	182	200	160	292	167	157	169	158	161	129	130	4699.28248419592	6516.50265049131	7972.08500786843	6515.62057728596	5920.21193269973	5074.61483625695	6531.3153179381	7231.57492729112	6655.95293670165	6676.23619123152	5910.44452121382	4725.41340337107
ACTS_HUMAN	451	0	482	0	250	441	400	448	417	0	0	333	13762.1844180023	0	19212.7248689629	0	5068.67459991415	13400.6295975408	16640.2938036639	19170.0921149492	17566.6605987632	0	0	12104.3281794044
ACTY_HUMAN	9	0	8	6	15	10	11	9	7	0	0	9	274.633391933528	0	318.883400314737	244.335771648223	304.120475994849	303.869151871674	457.608079600758	385.113457666391	294.883990866529	0	0	327.144004848766
ACTZ_HUMAN	16	10	16	11	24	21	14	13	14	11	12	14	488.237141215161	358.049596180841	637.766800629474	447.94891468841	486.592761591759	638.125218930514	582.410283128238	556.274994407009	589.767981733058	456.140360891595	549.808792671053	508.890674209192
ACVR1_HUMAN	0	1	0	0	0	0	0	0	0	0	0	0	0	35.8049596180841	0	0	0	0	0	0	0	0	0	0
ACY1_HUMAN	3	1	0	0	1	1	0	1	2	0	0	1	91.5444639778427	35.8049596180841	0	0	20.2746983996566	30.3869151871674	0	42.7903841851546	84.2525688190082	0	0	36.3493338720851
ACYP2_HUMAN	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	45.8173993892544	0
ADA_HUMAN	6	5	6	5	5	4	1	1	4	3	2	3	183.088927955685	179.024798090421	239.162550236053	203.613143040186	101.373491998283	121.547660748669	41.6007345091598	42.7903841851546	168.505137638016	124.401916606799	91.6347987785089	109.048001616255
ADA10_HUMAN	1	0	1	1	3	2	1	2	1	1	0	2	30.5148213259476	0	39.8604250393421	40.7226286080373	60.8240951989698	60.7738303743347	41.6007345091598	85.5807683703091	42.1262844095041	41.4673055355995	0	72.6986677441703
ADA12_HUMAN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	42.1262844095041	0	0	0
ADAM9_HUMAN	0	0	1	0	0	0	1	0	0	0	0	0	0	0	39.8604250393421	0	0	0	41.6007345091598	0	0	0	0	0
ADAS_HUMAN	6	6	4	6	9	5	4	4	4	7	0	4	183.088927955685	214.829757708505	159.441700157369	244.335771648223	182.47228559691	151.934575935837	166.402938036639	171.161536740618	168.505137638016	290.271138749197	0	145.397335488341
ADDA_HUMAN	8	13	4	4	15	5	7	3	6	4	4	4	244.11857060758	465.464475035094	159.441700157369	162.890514432149	304.120475994849	151.934575935837	291.205141564119	128.371152555464	252.757706457025	165.869222142398	183.269597557018	145.397335488341
ADDG_HUMAN	4	5	2	3	9	6	2	3	4	3	4	3	122.05928530379	179.024798090421	79.7208500786843	122.167885824112	182.47228559691	182.321491123004	83.2014690183197	128.371152555464	168.505137638016	124.401916606799	183.269597557018	109.048001616255
ADH1A_HUMAN	0	0	0	0	15	17	11	22	0	0	13	0	0	0	0	0	304.120475994849	516.577558181845	457.608079600758	941.3884520734	0	0	595.626192060308	0
ADH1B_HUMAN	9	11	11	10	45	28	19	32	27	9	21	20	274.633391933528	393.854555798925	438.464675432764	407.226286080373	912.361427984548	850.833625240686	790.413955674037	1369.29229392495	1137.40967905661	373.205749820396	962.165387174343	726.986677441703
ADH1G_HUMAN	0	0	0	4	6	0	5	12	9	1	0	5	0	0	0	162.890514432149	121.64819039794	0	208.003672545799	513.484610221855	379.136559685537	41.4673055355995	0	181.746669360426
ADHX_HUMAN	16	22	13	12	30	16	13	15	16	13	19	17	488.237141215161	787.709111597851	518.185525511448	488.671543296447	608.240951989698	486.190642994678	540.809548619078	641.855762777319	674.020550552066	539.074971962794	870.530588395835	617.938675825447
ADK_HUMAN	5	2	2	2	4	2	1	3	0	0	1	3	152.574106629738	71.6099192361683	79.7208500786843	81.4452572160745	81.0987935986265	60.7738303743347	41.6007345091598	128.371152555464	0	0	45.8173993892544	109.048001616255
ADNP_HUMAN	1	0	0	0	0	1	0	0	0	0	0	0	30.5148213259476	0	0	0	0	30.3869151871674	0	0	0	0	0	0
ADPGK_HUMAN	1	2	1	1	2	1	1	1	1	2	0	1	30.5148213259476	71.6099192361683	39.8604250393421	40.7226286080373	40.5493967993132	30.3869151871674	41.6007345091598	42.7903841851546	42.1262844095041	82.934611071199	0	36.3493338720851
ADPPT_HUMAN	1	1	1	3	0	2	3	4	1	2	2	2	30.5148213259476	35.8049596180841	39.8604250393421	122.167885824112	0	60.7738303743347	124.80220352748	171.161536740618	42.1262844095041	82.934611071199	91.6347987785089	72.6986677441703
