Protein	CTRL.28.4.1	CTRL.30.1.1	CTRL.30.5.1	CTRL.30.7.1	CTRL.39.2.1	CTRL.39.3.1	CTRL.39.6.1	CTRL.39.12.1	CTRL.39.13.1	VAN.30.7.5	VAN.42.10.5	VAN.42.11.5	CTRL.28.4.1.Norm	CTRL.30.1.1.Norm	CTRL.30.5.1.Norm	CTRL.30.7.1.Norm	CTRL.39.2.1.Norm	CTRL.39.3.1.Norm	CTRL.39.6.1.Norm	CTRL.39.12.1.Norm	CTRL.39.13.1.Norm	VAN.30.7.5.Norm	VAN.42.10.5.Norm	VAN.42.11.5.Norm
SF3B2_HUMAN	9	6	1	3	10	8	2	5	5	5	2	7	274.633391933528	214.829757708505	39.8604250393421	122.167885824112	202.746983996566	243.095321497339	83.2014690183197	213.951920925773	210.631422047521	207.336527677998	91.6347987785089	254.445337104596
SF3B3_HUMAN	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	40.7226286080373	0	30.3869151871674	0	0	0	0	0	0
SF3B4_HUMAN	1	0	1	0	2	1	1	1	1	0	1	0	30.5148213259476	0	39.8604250393421	0	40.5493967993132	30.3869151871674	41.6007345091598	42.7903841851546	42.1262844095041	0	45.8173993892544	0
SF3B6_HUMAN	3	1	1	0	3	2	1	3	1	0	3	3	91.5444639778427	35.8049596180841	39.8604250393421	0	60.8240951989698	60.7738303743347	41.6007345091598	128.371152555464	42.1262844095041	0	137.452198167763	109.048001616255
SFPQ_HUMAN	10	7	8	9	29	13	11	5	12	6	11	10	305.148213259476	250.634717326589	318.883400314737	366.503657472335	587.966253590042	395.029897433176	457.608079600758	213.951920925773	505.515412914049	248.803833213597	503.991393281799	363.493338720851
SFRP1_HUMAN	5	2	0	2	1	2	1	2	0	2	2	2	152.574106629738	71.6099192361683	0	81.4452572160745	20.2746983996566	60.7738303743347	41.6007345091598	85.5807683703091	0	82.934611071199	91.6347987785089	72.6986677441703
SFRP3_HUMAN	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	36.3493338720851
SFRP4_HUMAN	1	1	1	2	0	0	1	0	0	1	0	0	30.5148213259476	35.8049596180841	39.8604250393421	81.4452572160745	0	0	41.6007345091598	0	0	41.4673055355995	0	0
SFXN1_HUMAN	9	8	6	5	11	8	5	4	6	6	2	3	274.633391933528	286.439676944673	239.162550236053	203.613143040186	223.021682396223	243.095321497339	208.003672545799	171.161536740618	252.757706457025	248.803833213597	91.6347987785089	109.048001616255
SFXN3_HUMAN	14	12	10	8	14	9	7	8	7	9	7	4	427.207498563266	429.65951541701	398.604250393421	325.781028864298	283.845777595193	273.482236684506	291.205141564119	342.323073481237	294.883990866529	373.205749820396	320.721795724781	145.397335488341
SG223_HUMAN	0	0	1	0	0	0	1	1	1	0	0	0	0	0	39.8604250393421	0	0	0	41.6007345091598	42.7903841851546	42.1262844095041	0	0	0
SGMR1_HUMAN	2	0	1	1	2	0	0	0	0	2	0	0	61.0296426518951	0	39.8604250393421	40.7226286080373	40.5493967993132	0	0	0	0	82.934611071199	0	0
SGPL1_HUMAN	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	30.3869151871674	0	0	0	0	0	0
SGT1_HUMAN	4	0	4	4	9	5	2	2	3	1	1	6	122.05928530379	0	159.441700157369	162.890514432149	182.47228559691	151.934575935837	83.2014690183197	85.5807683703091	126.378853228512	41.4673055355995	45.8173993892544	218.096003232511
SGTA_HUMAN	3	2	3	2	6	4	3	1	3	2	3	5	91.5444639778427	71.6099192361683	119.581275118026	81.4452572160745	121.64819039794	121.547660748669	124.80220352748	42.7903841851546	126.378853228512	82.934611071199	137.452198167763	181.746669360426
SGTB_HUMAN	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	42.1262844095041	0	0	36.3493338720851
SH24A_HUMAN	2	0	1	1	3	4	1	0	0	0	1	1	61.0296426518951	0	39.8604250393421	40.7226286080373	60.8240951989698	121.547660748669	41.6007345091598	0	0	0	45.8173993892544	36.3493338720851
SH319_HUMAN	1	0	0	1	1	2	1	0	0	1	0	0	30.5148213259476	0	0	40.7226286080373	20.2746983996566	60.7738303743347	41.6007345091598	0	0	41.4673055355995	0	0
SH3G1_HUMAN	4	6	6	2	8	3	2	1	5	2	3	5	122.05928530379	214.829757708505	239.162550236053	81.4452572160745	162.197587197253	91.1607455615021	83.2014690183197	42.7903841851546	210.631422047521	82.934611071199	137.452198167763	181.746669360426
SH3K1_HUMAN	1	1	1	0	2	1	1	0	1	0	1	1	30.5148213259476	35.8049596180841	39.8604250393421	0	40.5493967993132	30.3869151871674	41.6007345091598	0	42.1262844095041	0	45.8173993892544	36.3493338720851
SH3L1_HUMAN	8	7	9	8	21	10	7	8	9	8	9	10	244.11857060758	250.634717326589	358.743825354079	325.781028864298	425.768666392789	303.869151871674	291.205141564119	342.323073481237	379.136559685537	331.738444284796	412.35659450329	363.493338720851
SH3L3_HUMAN	5	7	3	3	8	7	2	4	5	4	5	6	152.574106629738	250.634717326589	119.581275118026	122.167885824112	162.197587197253	212.708406310171	83.2014690183197	171.161536740618	210.631422047521	165.869222142398	229.086996946272	218.096003232511
SHAN3_HUMAN-DECOY	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	41.6007345091598	0	0	0	0	0
SHC1_HUMAN	0	0	0	2	2	1	2	0	0	0	0	0	0	0	0	81.4452572160745	40.5493967993132	30.3869151871674	83.2014690183197	0	0	0	0	0
SHC1_HUMAN-DECOY	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	166.402938036639	0	0	0	0	0
SHLB1_HUMAN	3	4	3	4	12	4	3	6	3	4	3	4	91.5444639778427	143.219838472337	119.581275118026	162.890514432149	243.296380795879	121.547660748669	124.80220352748	256.742305110927	126.378853228512	165.869222142398	137.452198167763	145.397335488341
SHLB2_HUMAN	6	2	2	5	8	5	1	4	3	2	2	3	183.088927955685	71.6099192361683	79.7208500786843	203.613143040186	162.197587197253	151.934575935837	41.6007345091598	171.161536740618	126.378853228512	82.934611071199	91.6347987785089	109.048001616255
SHOC2_HUMAN	3	2	2	0	1	3	2	0	1	1	0	0	91.5444639778427	71.6099192361683	79.7208500786843	0	20.2746983996566	91.1607455615021	83.2014690183197	0	42.1262844095041	41.4673055355995	0	0
SHPK_HUMAN	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20.2746983996566	0	0	0	0	0	0	0
SHPS1_HUMAN	4	4	2	4	10	4	2	0	0	1	0	5	122.05928530379	143.219838472337	79.7208500786843	162.890514432149	202.746983996566	121.547660748669	83.2014690183197	0	0	41.4673055355995	0	181.746669360426
SHSA4_HUMAN	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	36.3493338720851
SIAE_HUMAN	5	2	4	5	10	4	3	1	0	3	3	4	152.574106629738	71.6099192361683	159.441700157369	203.613143040186	202.746983996566	121.547660748669	124.80220352748	42.7903841851546	0	124.401916606799	137.452198167763	145.397335488341
SIAS_HUMAN	6	6	5	3	10	5	5	4	6	3	5	7	183.088927955685	214.829757708505	199.302125196711	122.167885824112	202.746983996566	151.934575935837	208.003672545799	171.161536740618	252.757706457025	124.401916606799	229.086996946272	254.445337104596
SIDT2_HUMAN	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	42.1262844095041	0	0	0
SIL1_HUMAN	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	20.2746983996566	0	41.6007345091598	0	42.1262844095041	41.4673055355995	0	36.3493338720851
SIR2_HUMAN	1	0	1	1	1	1	0	0	0	3	0	2	30.5148213259476	0	39.8604250393421	40.7226286080373	20.2746983996566	30.3869151871674	0	0	0	124.401916606799	0	72.6986677441703
SIR5_HUMAN	1	0	1	0	2	1	0	0	0	0	0	0	30.5148213259476	0	39.8604250393421	0	40.5493967993132	30.3869151871674	0	0	0	0	0	0
SIRB1_HUMAN	2	0	0	0	0	0	0	0	0	0	0	0	61.0296426518951	0	0	0	0	0	0	0	0	0	0	0
SIRBL_HUMAN	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	42.7903841851546	0	0	0	0
SK2L2_HUMAN	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	20.2746983996566	0	0	0	0	0	0	0
