Gene_Organism
HMGA1_HUMAN
G3BP2_HUMAN
ALBU_HUMAN
BASI_HUMAN
RTN4_HUMAN
DDX5_HUMAN
IF2B3_HUMAN
NOP56_HUMAN
ACPM_HUMAN
NHRF1_HUMAN
PSA7_HUMAN
HNRDL_HUMAN
PPM1G_HUMAN
SERA_HUMAN
PSMD3_HUMAN
BUB3_HUMAN
ACTN4_HUMAN
CALU_HUMAN
DNJB6_HUMAN
TBCA_HUMAN
H2AY_HUMAN
FLNB_HUMAN
FLNB_HUMAN
FLNB_HUMAN
RL1D1_HUMAN
SRP72_HUMAN
NDUB6_HUMAN
LETM1_HUMAN
LC7L3_HUMAN
NDUAA_HUMAN
STAU1_HUMAN
FADS2_HUMAN
COX2_HUMAN
AATM_HUMAN
AATM_HUMAN
PGK1_HUMAN
APOE_HUMAN
TFR1_HUMAN
ALDOA_HUMAN
SODM_HUMAN
OAT_HUMAN
G3P_HUMAN
G3P_HUMAN
RPN1_HUMAN
GNAI2_HUMAN
PCCA_HUMAN
RLA2_HUMAN
RLA2_HUMAN
LA_HUMAN
ATPB_HUMAN
ATPB_HUMAN
ATPB_HUMAN
ENOA_HUMAN
LDHB_HUMAN
TBB5_HUMAN
HNRPC_HUMAN
HNRPC_HUMAN
QCR6_HUMAN
4F2_HUMAN
RU17_HUMAN
VIME_HUMAN
GSTP1_HUMAN
RU1C_HUMAN
UCHL1_HUMAN
LKHA4_HUMAN
H14_HUMAN
MGST1_HUMAN
ESTD_HUMAN
CH60_HUMAN
CH60_HUMAN
CH60_HUMAN
CH60_HUMAN
GRP78_HUMAN
GRP78_HUMAN
GRP78_HUMAN
GRP78_HUMAN
GRP78_HUMAN
HSP7C_HUMAN
PCNA_HUMAN
PCNA_HUMAN
TPR_HUMAN
KCRB_HUMAN
XRCC5_HUMAN
ETFA_HUMAN
GLU2B_HUMAN
KPYM_HUMAN
KPYM_HUMAN
ENPL_HUMAN
HNRPL_HUMAN
HNRPL_HUMAN
RS2_HUMAN
H15_HUMAN
H15_HUMAN
H13_HUMAN
YBOX3_HUMAN
CXA1_HUMAN
PRS6A_HUMAN
TCPA_HUMAN
RL7_HUMAN
RL17_HUMAN
PSB1_HUMAN
FLNA_HUMAN
FLNA_HUMAN
FLNA_HUMAN
FLNA_HUMAN
FLNA_HUMAN
FLNA_HUMAN
FLNA_HUMAN
FLNA_HUMAN
FLNA_HUMAN
VDAC1_HUMAN
VDAC1_HUMAN
FBRL_HUMAN
UBA1_HUMAN
ROA2_HUMAN
SFPQ_HUMAN
SFPQ_HUMAN
PPIB_HUMAN
RS3_HUMAN
COF1_HUMAN
COF1_HUMAN
MCM3_HUMAN
PSA3_HUMAN
RL10_HUMAN
APEX1_HUMAN
RABP2_HUMAN
RABP1_HUMAN
RABP1_HUMAN
MARCS_HUMAN
ERP29_HUMAN
ATPD_HUMAN
RL12_HUMAN
RL12_HUMAN
PDIA3_HUMAN
HNRH3_HUMAN
RL9_HUMAN
DUT_HUMAN
MCM7_HUMAN
CTNA1_HUMAN
CTNB1_HUMAN
MYH9_HUMAN
MYH9_HUMAN
MYH9_HUMAN
MYH9_HUMAN
MYH10_HUMAN
MYH10_HUMAN
MYH10_HUMAN
BASI_HUMAN
BASI_HUMAN
BASI_HUMAN
LONM_HUMAN
ODO2_HUMAN
GRP75_HUMAN
GRP75_HUMAN
GRP75_HUMAN
MDHM_HUMAN
RS27_HUMAN
LPPRC_HUMAN
PCP_HUMAN
MATR3_HUMAN
MATR3_HUMAN
MATR3_HUMAN
MATR3_HUMAN
VDAC2_HUMAN
VDAC2_HUMAN
CBX5_HUMAN
CBX5_HUMAN
NOP2_HUMAN
NSF_HUMAN
RS5_HUMAN
CAPZB_HUMAN
NEST_HUMAN
NEST_HUMAN
NEST_HUMAN
NEST_HUMAN
LMAN1_HUMAN
NASP_HUMAN
NASP_HUMAN
NASP_HUMAN
NASP_HUMAN
TCPG_HUMAN
EFTU_HUMAN
SRP09_HUMAN
TMEDA_HUMAN
SERPH_HUMAN
RAB7A_HUMAN
RAB7A_HUMAN
SMCA4_HUMAN
CAZA1_HUMAN
COPB_HUMAN
MOT1_HUMAN
MOT1_HUMAN
SYYC_HUMAN
XPO2_HUMAN
TERA_HUMAN
TERA_HUMAN
TERA_HUMAN
MTPN_HUMAN
ACTB_HUMAN
RS3A_HUMAN
CH10_HUMAN
HNRPK_HUMAN
HNRPK_HUMAN
RS8_HUMAN
1433E_HUMAN
1433E_HUMAN
RS14_HUMAN
RUXF_HUMAN
SMD3_HUMAN
CNBP_HUMAN
H4_HUMAN
RL30_HUMAN
RL30_HUMAN
RL32_HUMAN
RL8_HUMAN
SUMO1_HUMAN
RS21_HUMAN
ACTG_HUMAN
TYB10_HUMAN
TBA4A_HUMAN
PRKDC_HUMAN
BASP1_HUMAN
BASP1_HUMAN
ERH_HUMAN
RL19_HUMAN
CLH1_HUMAN
HNRPU_HUMAN
HNRPU_HUMAN
SPTB2_HUMAN
SPTB2_HUMAN
SRSF2_HUMAN
LAT1_HUMAN
EWS_HUMAN
RL6_HUMAN
RL6_HUMAN
M2OM_HUMAN
LMNB2_HUMAN
SSBP_HUMAN
CSTF1_HUMAN
PRDX1_HUMAN
C1QBP_HUMAN
KHDR1_HUMAN
RBBP4_HUMAN
SNF5_HUMAN
ILF2_HUMAN
PRDX4_HUMAN
G3BP1_HUMAN
CKAP5_HUMAN
HNRPD_HUMAN
BOP1_HUMAN
DPYL3_HUMAN
DPYL3_HUMAN
FLOT2_HUMAN
FLOT2_HUMAN
RRP5_HUMAN
LASP1_HUMAN
IMB1_HUMAN
NUMA1_HUMAN
U5S1_HUMAN
PDIA6_HUMAN
PDIA6_HUMAN
TEBP_HUMAN
RCN1_HUMAN
PCBP1_HUMAN
SF3B3_HUMAN
SF3B3_HUMAN
ELAV1_HUMAN
DPYL2_HUMAN
DPYL2_HUMAN
RBBP7_HUMAN
DREB_HUMAN
UGPA_HUMAN
MIC60_HUMAN
ACTBL_HUMAN
RIF1_HUMAN
LTOR1_HUMAN
SND1_HUMAN
SND1_HUMAN
PHF5A_HUMAN
CENPV_HUMAN
THOC4_HUMAN
CISD2_HUMAN
RDH11_HUMAN
DDX17_HUMAN
FUBP2_HUMAN
FUBP2_HUMAN
FUBP2_HUMAN
SMCE1_HUMAN
SPF45_HUMAN
VAT1_HUMAN
NP1L4_HUMAN
ESYT1_HUMAN
HNRL1_HUMAN
RBM4_HUMAN
RBM4_HUMAN
NOG1_HUMAN
LN28A_HUMAN
LN28A_HUMAN
LUC7L_HUMAN
TOM22_HUMAN
NHP2_HUMAN
TECR_HUMAN
IF2B1_HUMAN
IF2B1_HUMAN
IF2B1_HUMAN
RCC2_HUMAN
SYLC_HUMAN
DNM3B_HUMAN
DNM3B_HUMAN
DJB11_HUMAN
NOP58_HUMAN
LC7L2_HUMAN
SF3B6_HUMAN
STRAP_HUMAN
STRAP_HUMAN
STRAP_HUMAN
HYOU1_HUMAN
HYOU1_HUMAN
TRUA_HUMAN
DNM3A_HUMAN
IF2B2_HUMAN
SERA_HUMAN
NDUS4_HUMAN
SNUT1_HUMAN
HNRPR_HUMAN
TPD54_HUMAN
CALU_HUMAN
SF3B1_HUMAN
SPF27_HUMAN
ATP5H_HUMAN
ADT2_HUMAN
4F2_HUMAN
HMGB1_HUMAN
CLUS_HUMAN
ODPB_HUMAN
EF2_HUMAN
EZRI_HUMAN
CREB1_HUMAN
H12_HUMAN
STMN1_HUMAN
NUCL_HUMAN
LMNB1_HUMAN
FLNA_HUMAN
FLNA_HUMAN
FLNA_HUMAN
PUR6_HUMAN
COF1_HUMAN
U2AF2_HUMAN
ECHM_HUMAN
PRDX2_HUMAN
EIF1_HUMAN
AFAD_HUMAN
IF4A1_HUMAN
PRS8_HUMAN
ACTG_HUMAN
HNRPU_HUMAN
C1QBP_HUMAN
ILF3_HUMAN
MTAP_HUMAN
MLEC_HUMAN
CNN3_HUMAN
DPYL2_HUMAN
SND1_HUMAN
DPPA4_HUMAN
AROS_HUMAN
CCAR2_HUMAN
UTP15_HUMAN
NU205_HUMAN
NEUL_HUMAN
DDX21_HUMAN
SYFA_HUMAN
RTCB_HUMAN
NPM_HUMAN
TOP2A_HUMAN
NUCL_HUMAN
FLNA_HUMAN
CALR_HUMAN
PDIA3_HUMAN
RPB9_HUMAN
FAS_HUMAN
6PGD_HUMAN
BASP1_HUMAN
EIF3I_HUMAN
DC1I2_HUMAN
NUMA1_HUMAN
U5S1_HUMAN
MIC60_HUMAN
PNO1_HUMAN
FLOT1_HUMAN
PGK1_HUMAN
TPM3_HUMAN
NUCL_HUMAN
FLNA_HUMAN
1433T_HUMAN
MARCS_HUMAN
GRP75_HUMAN
RS5_HUMAN
MRP_HUMAN
COPA_HUMAN
XPO2_HUMAN
RS20_HUMAN
IFM3_HUMAN
DHX9_HUMAN
G3BP1_HUMAN
SEPT2_HUMAN
PCBP1_HUMAN
SPB1_HUMAN
CHSP1_HUMAN
DDX5_HUMAN
GRP75_HUMAN
MATR3_HUMAN
HNRPK_HUMAN
CLH1_HUMAN
SPTB2_HUMAN
DDX17_HUMAN
RCC2_HUMAN
PGK1_HUMAN
XRCC6_HUMAN
SYDC_HUMAN
TCPA_HUMAN
CALR_HUMAN
SDHA_HUMAN
UCRI_HUMAN
1433Z_HUMAN
TMOD3_HUMAN
CNOT1_HUMAN
CNOT1_HUMAN
SMHD1_HUMAN
