Cell	Condition1	Condition2	Protein	logFC	logCPM	PValue
D	CTRL	SUN	TBB8_HUMAN	7.12537267938924	7.97935422232352	9.96061776790235e-36
D	CTRL	SUN	H2BFS_HUMAN	5.89566553324288	7.18101632875934	3.11098446987397e-15
D	CTRL	SUN	TBAL3_HUMAN	4.8655473201796	6.72312243037472	1.36562301771104e-07
D	CTRL	SUN	PP2AB_HUMAN	4.75406131766945	6.6685861436635	1.44183005865636e-06
D	CTRL	SUN	H2B1L_HUMAN	-4.64883151487817	7.18754101063548	6.87548534528433e-05
D	CTRL	SUN	K1C13_HUMAN	-4.64786401821154	7.16909890273162	9.85257806178427e-05
D	CTRL	SUN	H2B1B_HUMAN	1.00920141909647	8.90727714646481	0.000167011745786574
D	CTRL	SUN	1C07_HUMAN	-4.69640415696713	7.14261589255992	0.000294177803207341
D	CTRL	SUN	TBB1_HUMAN	-4.49136485060341	7.08923587119049	0.000294177803207341
D	CTRL	SUN	LAP2A_HUMAN	-1.43682615433439	8.23217470837055	0.000355764742149507
D	CTRL	SUN	H2B3B_HUMAN	-4.31572808002458	7.0238588196075	0.000424890871987568
D	CTRL	SUN	ACTN3_HUMAN	1.22467337582182	7.48981978524053	0.000502184683611258
D	CTRL	SUN	UAP1_HUMAN	-4.31565215961806	7.00159877601943	0.000886373473752358
D	CTRL	SUN	K2C6A_HUMAN	-1.43313897967261	8.13172915388267	0.00173570834727785
D	CTRL	SUN	HSP72_HUMAN	-0.831202203067816	8.58576181649918	0.00198437277283341
D	CTRL	SUN	1C06_HUMAN	-4.11556406317776	6.91467549412035	0.00267077096023568
D	CTRL	SUN	RDH11_HUMAN	-1.80105454311605	7.5051954586122	0.00378456263158056
D	CTRL	SUN	K1C16_HUMAN	-1.04811187650026	8.53214996340917	0.00408092666803864
D	CTRL	SUN	K2C6B_HUMAN	-3.79658894720346	6.79336819977011	0.00557173547356597
D	CTRL	SUN	CCDC6_HUMAN	-1.7629410051306	7.4640884770131	0.00654088065314999
D	CTRL	SUN	ANTR2_HUMAN	1.45949149672001	7.18337837538108	0.00685883399303572
D	CTRL	SUN	TMED4_HUMAN	-3.96476664093281	6.82408457029121	0.00804765936830111
D	CTRL	SUN	IPRI_HUMAN	2.57091592139723	6.55321236142728	0.0100637943087373
